x	x	0	0	0	0
x	x	0	0	0	0
Computer	Science	2.39	55.9096	0	0
Communities:	Their	2.39	83.8604	0	0
Tanmoy	Chakraborty	1.1	144.555	0	0
x	x	0	0	0	0
Department	of	1.0	157.716	0	0
x	x	0	0	0	0
AbstractStudy	of	0.9	216.597	0	0
Keywordscommunity	analysis;	0.9	482.304	0	0
I.	INTRODUCTION	1.0	520.116	0	0
Detecting	clusters	1.0	537.636	0	0
Though	several	1.0	686.782	0	0
The	first	0.8	718.998	0	0
the	interactive	1.0	215.916	0	0
The	major	1.0	354.023	0	0
2013	IEEE/ACM	1.0	34.1025	0	0
426	ASONAM'13,	0.81	750.703	0	0
we	adopt	1.0	58.1154	0	0
Besides,	the	1.0	130.596	0	0
The	rest	1.0	345.508	0	0
II.	DATASET	0.88	492.861	0	0
The	traditional	1.0	510.516	0	0
1	for	0.99	607.478	0	0
1	http://arnetminer.org/citation,	0.76	726.598	0	0
TABLE	I.	0.69	53.9591	1	TABLE
Raw	Filtered	0.7	68.917	0	0
In	order	1.0	220.716	0	0
A.	Field	1.0	369.264	0	0
The	natural	1.0	387.267	0	0
2	.	0.99	528.158	0	0
2	http://academic.research.microsoft.com/	0.7	726.598	0	0
2013	IEEE/ACM	1.0	34.1025	0	0
$$$	427	1.0	750.703	0	0
x	x	0	0	0	0
TABLE	II.	0.8	53.9566	1	TABLE
OF	PAPERS	0.65	55.0453	0	0
EACH	DECADE,	0.64	55.0453	0	0
No.	Subject	0.66	79.1752	0	0
B.	Continent	1.0	352.956	0	0
As	mentioned	1.0	369.873	0	0
Out	of	1.0	671.772	0	0
the	authors	1.0	352.926	0	0
TABLE	III.	0.71	426.317	1	TABLE
Heuristics	Percentage	0.7	441.278	0	0
Since	our	1.0	518.436	0	0
i	V	0.97	576.486	0	0
ji	pointing	0.92	587.406	0	0
j	to	0.9	587.406	0	0
i	indicates	0.96	587.406	0	0
j	cites	0.95	598.326	0	0
i	in	0.99	609.366	0	0
2013	IEEE/ACM	1.0	34.1025	0	0
$$$	428	1.0	750.703	0	0
1	10	0.54	106.103	0	0
$$$	0.5	0.54	83.5359	0	0
1	0408	0.59	64.7479	0	0
1	10	0.54	106.328	0	0
$$$	9403	0.65	56.8625	0	0
1	10	0.54	161.633	0	0
$$$	0.5	0.54	137.941	0	0
$$$	1	0.54	118.05	0	0
0	Community	0.68	157.853	0	0
$$$	scoring	0.81	118.699	0	0
$$$	functions	0.81	84.0307	0	0
1	10	0.54	209.693	0	0
$$$	1	0.54	173.693	0	0
$$$	0.5	0.54	189.803	0	0
1	10	0.54	161.858	0	0
1	10	0.54	209.603	0	0
1	10	0.54	106.778	0	0
$$$	6081	0.65	57.1105	0	0
1	10	0.54	161.183	0	0
1	10	0.69	209.693	0	0
1	10	0.54	107.003	0	0
$$$	8208	0.65	57.5595	0	0
1	10	0.54	160.935	0	0
1	10	0.54	209.693	0	0
1	10	0.54	107.273	0	0
$$$	6008	0.65	57.5375	0	0
1	10	0.54	160.305	0	0
1	10	0.54	209.603	0	0
1	10	0.54	106.98	0	0
6008	(RN)	0.65	57.5375	0	0
1	10	0.54	159.855	0	0
1	10	0.54	209.828	0	0
10%	10%	0.43	81.6104	0	0
10%	10%	0.43	134.958	0	0
100%	10%	0.43	184.549	0	0
$$$	=0.989	0.54	150.525	0	0
=0.993	=0.999	0.54	65.2269	0	0
=0.965	=0.997	0.54	152.1	0	0
ODF	COND	0.54	117.961	0	0
$$$	FOMD	0.54	173.041	0	0
$$$	=0.983	0.54	149.625	0	0
$$$	=0.976	0.54	64.127	0	0
100	=0.37	0.49	121.773	0	0
10	=0.93	0.49	152.667	0	0
10	=0.77	0.49	100.848	0	0
100	=0.16	0.5	74.7483	0	0
Fig.	1.	0.8	239.477	1	FIGURE
at	least	1.0	296.316	0	0
III.	COMMUNITY	0.9	351.391	0	0
We	now	1.0	367.836	0	0
Let	G(V,	1.0	515.906	0	0
S	=	0.92	540.966	0	0
S	=	0.97	540.966	0	0
S	=	0.99	552.006	0	0
(A)	Based	1.0	592.594	0	0
cS	nS	0.97	612.246	0	0
